sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
student_01;18;U;GT3;A;4;4;at_home;teacher;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_02;17;R;LE3;T;1;1;health;other;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_03;19;U;GT3;A;3;3;other;services;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_04;16;R;LE3;T;2;2;services;health;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_05;18;U;GT3;A;4;4;teacher;at_home;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_06;17;R;LE3;T;1;1;at_home;teacher;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_07;19;U;GT3;A;3;3;health;other;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_08;16;R;LE3;T;2;2;other;services;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_09;18;U;GT3;A;4;4;services;health;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_10;17;R;LE3;T;1;1;teacher;at_home;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_11;19;U;GT3;A;3;3;at_home;teacher;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_12;16;R;LE3;T;2;2;health;other;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_13;18;U;GT3;A;4;4;other;services;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_14;17;R;LE3;T;1;1;services;health;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_15;19;U;GT3;A;3;3;teacher;at_home;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
student_16;16;R;LE3;T;2;2;at_home;teacher;reputation;mother;4;4;2;no;yes;yes;yes;no;no;yes;yes;4;3;3;1;1;4;2;18;19;20
student_17;18;U;GT3;A;4;4;health;other;course;mother;1;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;5
student_18;17;R;LE3;T;1;1;other;services;other;father;2;3;1;no;yes;yes;yes;no;yes;yes;no;5;4;1;1;1;5;4;12;11;10
student_19;19;U;GT3;A;3;3;services;health;home;other;3;1;0;yes;no;no;no;yes;yes;no;no;3;2;2;2;2;2;10;15;14;16
